,description,isco_08_4dg,rti_mihaylov_2019,isco_08_3dg,isco_08_2dg,isco_88_3dg,isco_88_2dg,rti_isco_88_2dg_mahutga_2018,ofs_isco_88_2dg_mahutga_2018,ss_isco_88_2dg_pp_x_2019,oesch_class_num,oesch_class_chr16,oesch_class_chr8,greenness,brownness,brown_dummy,greenness_title,greenness_source,brownness_source,brown_dummy_source,greenness_original,brownness_original,greenness_imputed,brownness_imputed
1,Legislators,1111,-1,111,11,111,11,-0.570761322171862,-0.416068755712792,1.25853276786939,9,Higher-grade managers,(Associate) managers,0.1038278,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.1038278,0.0,TRUE,TRUE
2,Senior government officials,1112,-1,111,11,111,11,-0.570761322171862,-0.416068755712792,1.25853276786939,9,Higher-grade managers,(Associate) managers,0.0377963,0,0,Senior government officials,observed,observed,observed,0.0377963,0,FALSE,FALSE
3,Traditional chiefs and heads of villages,1113,-1,111,11,113,11,-0.570761322171862,-0.416068755712792,1.25853276786939,9,Higher-grade managers,(Associate) managers,0.1038278,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.1038278,0.0,TRUE,TRUE
4,Senior officials of special-interest organizations,1114,-1,111,11,111,11,-0.570761322171862,-0.416068755712792,1.25853276786939,9,Higher-grade managers,(Associate) managers,0.1698594,0,0,Senior officials of special-interest organizations,observed,observed,observed,0.1698594,0,FALSE,FALSE
5,Managing directors and chief executives,1120,-1,112,11,121,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.1038278,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.1038278,0.0,TRUE,TRUE
6,Finance managers,1211,-1,121,12,123,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.2311105,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.2311105,0.0,TRUE,TRUE
7,Human resource managers,1212,-0.8666667,121,12,123,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.2311105,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.2311105,0.0,TRUE,TRUE
8,Policy and planning managers,1213,-1,121,12,123,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.3961895,0,0,Policy and planning managers,observed,observed,observed,0.3961895,0,FALSE,FALSE
9,Business services and administration managers not elsewhere classified,1219,-1,121,12,123,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.0660316,0,0,Business services and administration managers n.e.c.,observed,observed,observed,0.0660316,0,FALSE,FALSE
10,Sales and marketing managers,1221,-1,122,12,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.0860184,0,0,Sales and marketing managers,observed,observed,observed,0.0860184,0,FALSE,FALSE
11,Advertising and public relations managers,1222,-1,122,12,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.0876689,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0876689,0.0,TRUE,TRUE
12,Research and development managers,1223,-1,122,12,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.0893194,0,0,Research and development managers,observed,observed,observed,0.0893194,0,FALSE,FALSE
13,Agricultural and forestry production managers,1311,-1,131,13,611,61,0.108635999204958,-0.830886818066944,1.10102127787543,10,Lower grade managers,(Associate) managers,0.0481256,0,0,dummy Agricultural and forestry production managers,observed,observed,observed,0.0481256,0,FALSE,FALSE
14,Aquaculture and fisheries production managers,1312,-0.8823529,131,13,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,10,Lower grade managers,(Associate) managers,0.0481256,0,0,Aquaculture and fisheries production managers,observed,observed,observed,0.0481256,0,FALSE,FALSE
15,Manufacturing managers,1321,-1,132,13,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.1492237,0.3333333,1,,imputed_3dg,imputed_3dg,computed_from_brownness,0.1492237,0.3333333,TRUE,TRUE
16,Mining managers,1322,-1,132,13,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0,1,1,Mining managers,observed,observed,observed,0,1,FALSE,FALSE
17,Construction managers,1323,-1,132,13,214,21,-0.724701226132733,1.29575161625455,1.00587240138991,9,Higher-grade managers,(Associate) managers,0.2260342,0,0,Construction managers,observed,observed,observed,0.2260342,0,FALSE,FALSE
18,"Supply, distribution and related managers",1324,-0.8571429,132,13,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.2216368,0,0,"Supply , distribution and related managers",observed,observed,observed,0.2216368,0,FALSE,FALSE
19,Information and communications technology services managers,1330,-1,133,13,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.1424009,0.1428571,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.1424009,0.1428571,TRUE,TRUE
20,Child care services managers,1341,-0.8333333,134,13,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.2264419,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.2264419,0.0,TRUE,TRUE
21,Health services managers,1342,-1,134,13,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.2264419,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.2264419,0.0,TRUE,TRUE
22,Aged care services managers,1343,-1,134,13,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.2264419,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.2264419,0.0,TRUE,TRUE
