soc2018_code,soc2018_title,AIOE
11-1011,Chief Executives,1.334
11-1021,General and Operations Managers,0.575
11-2011,Advertising and Promotions Managers,1.294
11-2021,Marketing Managers,1.315
11-2022,Sales Managers,1.266
11-2031,Public Relations Managers,1.294
11-3011,Administrative Services Managers,0.74
11-3021,Computer and Information Systems Managers,1.06
11-3031,Financial Managers,1.446
11-3051,Industrial Production Managers,0.509
11-3061,Purchasing Managers,1.423
11-3071,"Transportation, Storage, and Distribution Managers",0.891
11-3111,Compensation and Benefits Managers,1.298
11-3121,Human Resources Managers,1.32
11-3131,Training and Development Managers,1.284
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.144
11-9021,Construction Managers,1.029
11-9031,"Education Administrators, Preschool and Child Care Center/Program",0.838
11-9032,"Education Administrators, Elementary and Secondary School",1.049
11-9033,"Education Administrators, Postsecondary",1.461
11-9039,"Education Administrators, All Other",0.354
11-9041,Engineering Managers,0.837
11-9051,Food Service Managers,-0.121
11-9061,Funeral Directors,0.372
11-9071,Gaming Managers,0.83
11-9081,Lodging Managers,0.402
11-9111,Medical and Health Services Managers,1.26
11-9121,Natural Sciences Managers,1.328
11-9131,Postmasters and Mail Superintendents,0.823
11-9141,"Property, Real Estate, and Community Association Managers",1.215
11-9151,Social and Community Service Managers,1.156
11-9161,Emergency Management Directors,1.031
11-9199,"Managers, All Other",0.965
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.069
13-1021,"Purchasing Agents and Buyers, Farm Products",0.769
13-1022,"Wholesale and Retail Buyers, Except Farm Products",0.819
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.509
13-1031,"Claims Adjusters, Examiners, and Investigators",1.274
13-1032,"Insurance Appraisers, Auto Damage",0.663
13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",0.698
13-1051,Cost Estimators,1.368
13-1071,"Employment, Recruitment, and Placement Specialists",1.36
13-1074,Farm Labor Contractors,-0.435
13-1075,Labor Relations Specialists,1.335
13-1081,Logisticians,1.297
13-1111,Management Analysts,1.432
13-1121,Meeting and Convention Planners,0.374
13-1131,Fundraisers,1.243
13-1141,"Compensation, Benefits, and Job Analysis Specialists",1.441
13-1151,Training and Development Specialists,1.198
13-1161,Market Research Analysts and Marketing Specialists,1.427
13-1199,"Business Operations Specialists, All Other",1.048
13-2011,Accountants and Auditors,1.482
13-2021,Appraisers and Assessors of Real Estate,0.841
13-2031,Budget Analysts,1.503
13-2041,Credit Analysts,1.345
13-2051,Financial Analysts,1.381
13-2052,Personal Financial Advisors,1.401
13-2053,Insurance Underwriters,1.327
13-2061,Financial Examiners,1.526
13-2071,Loan Counselors,1.385
13-2072,Loan Officers,1.386
13-2081,"Tax Examiners, Collectors, and Revenue Agents",1.367
13-2082,Tax Preparers,1.294
13-2099,"Financial Specialists, All Other",1.361
15-1111,Computer and Information Research Scientists,1.154
15-1121,Computer Systems Analysts,1.198
15-1122,Information Security Analysts,1.25
15-1131,Computer Programmers,1.272
15-1132,"Software Developers, Applications",1.201
15-1133,"Software Developers, Systems Software",1.283
15-1134,Web Developers,1.089
15-1141,Database Administrators,1.285
15-1142,Network and Computer Systems Administrators,0.79
15-1143,Computer Network Architects,0.58
15-1151,Computer User Support Specialists,0.299
15-1152,Computer Network Support Specialists,0.786
15-1199,"Computer Occupations, All Other",1.233
15-2011,Actuaries,1.516
15-2021,Mathematicians,1.472
15-2031,Operations Research Analysts,1.4
15-2041,Statisticians,1.383
15-2091,Mathematical Technicians,0.756
17-1011,"Architects, Except Landscape and Naval",1.047
17-1012,Landscape Architects,1.034
17-1021,Cartographers and Photogrammetrists,0.817
17-1022,Surveyors,0.146
17-2011,Aerospace Engineers,1.339
17-2021,Agricultural Engineers,0.941
17-2031,Biomedical Engineers,0.987
17-2041,Chemical Engineers,1.341
17-2051,Civil Engineers,1.283
17-2061,Computer Hardware Engineers,1.142
17-2071,Electrical Engineers,1.127
17-2072,"Electronics Engineers, Except Computer",0.665
17-2081,Environmental Engineers,1.344
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.995
17-2112,Industrial Engineers,1.138
17-2121,Marine Engineers and Naval Architects,0.547
17-2131,Materials Engineers,1.037
17-2141,Mechanical Engineers,1.005
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",1.347
17-2161,Nuclear Engineers,1.303
17-2171,Petroleum Engineers,1.248
17-2199,"Engineers, All Other",0.788
17-3011,Architectural and Civil Drafters,0.923
17-3012,Electrical and Electronics Drafters,0.91
17-3013,Mechanical Drafters,0.841
17-3021,Aerospace Engineering and Operations Technicians,0.391
17-3022,Civil Engineering Technicians,0.932
17-3023,Electrical and Electronic Engineering Technicians,0.352
17-3024,Electro-Mechanical Technicians,-0.304
17-3025,Environmental Engineering Technicians,0.044
17-3026,Industrial Engineering Technicians,0.611
17-3027,Mechanical Engineering Technicians,-0.119
17-3029,"Engineering Technicians, Except Drafters, All Other",0.194
17-3031,Surveying and Mapping Technicians,0.085
19-1011,Animal Scientists,1.041
19-1012,Food Scientists and Technologists,0.794
19-1013,Soil and Plant Scientists,0.632
19-1020,Biologists,0.752
19-1021,Biochemists and Biophysicists,0.906
19-1022,Microbiologists,0.696
19-1023,Zoologists and Wildlife Biologists,0.318
19-1029,"Biological Scientists, All Other",1.01
19-1031,Conservation Scientists,0.069
19-1032,Foresters,-0.184
19-1041,Epidemiologists,1.436
