soc2018_title,soc2018_code,employment_2024_thousands,employment_2034_thousands,employment_change_24to34_thousands,employment_change_24to34_percent,employment_change_24to34_thousands_annual_average,median_annual_wage_2024,typical_entry_level_edu,education_code,work_experience_in_a_related_occupation,work_exp_code,typical_ojt,ojt_code
"Entertainers and performers, sports and related workers, all other",27-2099,35.8,38,2.1,6,4.4,NA,No formal educational credential,8,None,4,Short-term on-the-job training,5
Dancers,27-2031,12.3,12.9,0.6,4.5,1.8,NA,No formal educational credential,8,None,4,Long-term on-the-job training,3
"Disc jockeys, except radio",27-2091,15.4,16,0.6,3.8,1.5,NA,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Musicians and singers,27-2042,169.8,171.6,1.8,1.1,19.4,NA,No formal educational credential,8,None,4,Long-term on-the-job training,3
Actors,27-2011,57,57.1,0.2,0.3,6.3,NA,"Some college, no degree",6,None,4,Long-term on-the-job training,3
Fishing and hunting workers,45-3031,21.9,20.9,-1,-4.6,2.8,NA,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Cooks, fast food",35-2011,669.5,579.2,-90.3,-13.5,82.1,30160,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,429.9,423.5,-6.4,-1.5,107.7,30380,No formal educational credential,8,None,4,Short-term on-the-job training,5
Gambling and sports book writers and runners,39-3012,8.2,7.7,-0.5,-6.1,1.2,30460,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Fast food and counter workers,35-3023,3796,4029.2,233.2,6.1,904.3,30480,No formal educational credential,8,None,4,Short-term on-the-job training,5
Amusement and recreation attendants,39-3091,392.3,405.5,13.2,3.4,102.4,30490,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Ushers, lobby attendants, and ticket takers",39-3031,121.7,123.1,1.4,1.2,30.8,31150,No formal educational credential,8,None,4,Short-term on-the-job training,5
Cashiers,41-2011,3157.2,2843.6,-313.6,-9.9,542.6,31190,No formal educational credential,8,None,4,Short-term on-the-job training,5
Shampooers,39-5093,18.5,19.6,1,5.5,2.7,31470,No formal educational credential,8,None,4,Short-term on-the-job training,5
Childcare workers,39-9011,991.6,962.4,-29.2,-2.9,160.2,32050,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Dining room and cafeteria attendants and bartender helpers,35-9011,527.4,560.6,33.1,6.3,99.6,32670,No formal educational credential,8,None,4,Short-term on-the-job training,5
Gambling dealers,39-3011,88.7,88.1,-0.6,-0.6,14.1,33280,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Animal caretakers,39-2021,392.1,439.6,47.6,12.1,74.6,33470,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Bartenders,35-3011,756.7,801.5,44.8,5.9,129.6,33530,No formal educational credential,8,None,4,Short-term on-the-job training,5
Dishwashers,35-9021,477.7,478.6,0.9,0.2,76.8,33670,No formal educational credential,8,None,4,Short-term on-the-job training,5
