hazard_context,job_zone,onet_soc2018_code,onet_soc2018_title
99,2,51-8091.00,Chemical Plant and System Operators
98,2,49-9051.00,Electrical Power-Line Installers and Repairers
98,3,49-9081.00,Wind Turbine Service Technicians
96,3,47-4021.00,Elevator and Escalator Installers and Repairers
96,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
95,2,51-8099.01,Biofuels Processing Technicians
94,2,49-9099.01,Geothermal Technicians
94,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
94,2,53-7073.00,Wellhead Pumpers
92,4,29-2011.04,Histotechnologists
91,2,51-8013.03,Biomass Plant Technicians
91,1,47-5011.00,"Derrick Operators, Oil and Gas"
91,2,47-5043.00,"Roof Bolters, Mining"
91,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
90,3,47-2111.00,Electricians
90,2,51-8013.00,Power Plant Operators
89,2,51-9011.00,Chemical Equipment Operators and Tenders
89,2,47-5013.00,"Service Unit Operators, Oil and Gas"
88,2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
87,2,49-3021.00,Automotive Body and Related Repairers
87,3,19-4031.00,Chemical Technicians
87,3,29-2012.01,Histology Technicians
86,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
85,2,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
84,3,49-3023.00,Automotive Service Technicians and Mechanics
82,3,39-4011.00,Embalmers
82,2,47-5081.00,Helpers--Extraction Workers
82,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
82,3,51-8021.00,Stationary Engineers and Boiler Operators
81,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
81,3,19-4051.00,Nuclear Technicians
81,2,47-2231.00,Solar Photovoltaic Installers
80,2,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
80,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
79,4,29-2011.01,Cytogenetic Technologists
79,3,19-4099.01,Quality Control Analysts
79,2,51-8031.00,Water and Wastewater Treatment Plant and System Operators
78,4,11-3051.03,Biofuels Production Managers
78,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
78,2,53-7041.00,Hoist and Winch Operators
78,3,51-8013.04,Hydroelectric Plant Technicians
78,2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
77,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
77,2,51-8092.00,Gas Plant Operators
77,2,51-9141.00,Semiconductor Processing Technicians
75,2,51-7021.00,Furniture Finishers
75,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
75,2,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
74,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
74,3,53-5031.00,Ship Engineers
74,2,51-9197.00,Tire Builders
73,3,49-3011.00,Aircraft Mechanics and Service Technicians
73,2,51-4071.00,Foundry Mold and Coremakers
72,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
71,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
71,2,47-2181.00,Roofers
70,2,51-2051.00,Fiberglass Laminators and Fabricators
70,3,33-2011.00,Firefighters
70,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
70,2,53-4041.00,Subway and Streetcar Operators
70,3,29-9093.00,Surgical Assistants
70,3,11-9199.09,Wind Energy Operations Managers
69,3,29-2012.00,Medical and Clinical Laboratory Technicians
69,2,49-9044.00,Millwrights
69,3,17-3024.01,Robotics Technicians
69,3,33-3052.00,Transit and Railroad Police
68,2,47-3013.00,Helpers--Electricians
68,3,49-9043.00,"Maintenance Workers, Machinery"
68,3,47-1011.03,Solar Energy Installation Managers
67,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
67,5,29-2091.00,Orthotists and Prosthetists
67,2,49-9052.00,Telecommunications Line Installers and Repairers
67,2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
66,4,19-2031.00,Chemists
65,5,29-2011.02,Cytotechnologists
65,4,17-2141.01,Fuel Cell Engineers
65,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
65,2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
65,2,51-5112.00,Printing Press Operators
65,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
64,2,31-9093.00,Medical Equipment Preparers
63,3,49-2091.00,Avionics Technicians
63,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
63,4,19-1022.00,Microbiologists
63,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
62,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
62,2,47-5041.00,Continuous Mining Machine Operators
62,2,51-9081.00,Dental Laboratory Technicians
62,3,49-9071.00,"Maintenance and Repair Workers, General"
62,2,37-2021.00,Pest Control Workers
62,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
61,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
61,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
61,3,11-3051.02,Geothermal Production Managers
61,3,49-3052.00,Motorcycle Mechanics
61,5,17-2199.09,Nanosystems Engineers
61,2,49-3043.00,Rail Car Repairers
61,2,47-2221.00,Structural Iron and Steel Workers
60,2,47-2021.00,Brickmasons and Blockmasons
60,3,53-2012.00,Commercial Pilots
60,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
60,3,19-4013.00,Food Science Technicians
59,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
59,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
59,3,11-3051.06,Hydroelectric Production Managers
59,3,49-9041.00,Industrial Machinery Mechanics
59,3,51-9082.00,Medical Appliance Technicians
59,1,47-5071.00,"Roustabouts, Oil and Gas"
59,3,29-2055.00,Surgical Technologists
58,3,17-3027.01,Automotive Engineering Technicians
58,3,35-1011.00,Chefs and Head Cooks
58,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
58,2,53-2031.00,Flight Attendants
58,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
58,2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
58,2,53-4011.00,Locomotive Engineers
58,3,17-3029.08,Photonics Technicians
58,2,49-3093.00,Tire Repairers and Changers
58,2,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
57,5,25-1052.00,"Chemistry Teachers, Postsecondary"
57,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
57,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
57,2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
57,2,53-5011.00,Sailors and Marine Oilers
56,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
56,3,49-9062.00,Medical Equipment Repairers
56,1,51-9123.00,"Painting, Coating, and Decorating Workers"
56,2,51-9151.00,Photographic Process Workers and Processing Machine Operators
56,2,53-4031.00,Railroad Conductors and Yardmasters
55,2,47-2011.00,Boilermakers
55,2,51-2022.00,Electrical and Electronic Equipment Assemblers
55,3,11-9171.00,Funeral Home Managers
55,3,51-9071.06,Gem and Diamond Workers
55,2,51-4192.00,"Layout Workers, Metal and Plastic"
55,2,47-2171.00,Reinforcing Iron and Rebar Workers
54,2,53-7061.00,Cleaners of Vehicles and Equipment
54,2,31-9099.02,Endoscopy Technicians
54,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
54,1,47-2043.00,Floor Sanders and Finishers
54,4,29-2011.00,Medical and Clinical Laboratory Technologists
54,2,17-3029.01,Non-Destructive Testing Specialists
54,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
54,2,47-2053.00,Terrazzo Workers and Finishers
54,5,29-1131.00,Veterinarians
53,5,29-1071.01,Anesthesiologist Assistants
53,5,19-1021.00,Biochemists and Biophysicists
