isco88_title,isco88_code,isco08_code,isco08_title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legislators,1110,1111,Legislators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Government Officials,1120,1112,Senior Government Officials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traditional Chiefs and Heads of Villages,1130,1113,Traditional Chiefs and Heads of Villages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Officials of Political-party Organisations,1141,1114,Senior Officials of Special-interest Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senior Officials of Employers', Workers' and Other Economic-interest Organisations",1142,1114,Senior Officials of Special-interest Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Officials of Humanitarian and Other Special-interest Organisations,1143,1114,Senior officials of Special-interest Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directors and Chief Executives,1210,1120,Managing Directors and Chief Executives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Production and Operations Department Managers in Agriculture, Hunting, Forestry and Fishing",1221,1311,Agricultural and Forestry Production Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Production and Operations Department Managers in Agriculture, Hunting, Forestry and Fishing",1221,1312,Aquaculture and Fisheries Production Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers in Manufacturing,1222,1321,Manufacturing Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers in Manufacturing,1222,1322,Mining Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers in Construction,1223,1323,Construction Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers in Construction,1223,3123,Construction Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers in Wholesale and Retail Trade,1224,1420,Retail and Wholesale Trade Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers in Restaurants and Hotels,1225,1411,Hotel Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers in Restaurants and Hotels,1225,1412,Restaurant Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Production and Operations Department Managers in Transport, Storage and Communications",1226,1324,"Supply, Distribution and Related Managers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Production and Operations Department Managers in Transport, Storage and Communications",1226,1330,Information and Communications Technology Services Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers in Business Services,1227,1219,Business Services and Administration Managers Not Elsewhere Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers in Business Services,1227,1346,Financial and Insurance Services Branch Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Production and Operations Department Managers in Personal Care, Cleaning and Related Services",1228,1219,Business Services and Administration Managers Not Elsewhere Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers Not Elsewhere Classified,1229,1213,Policy and Planning Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers Not Elsewhere Classified,1229,1219,Business Services and Administration Managers Not Elsewhere Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers Not Elsewhere Classified,1229,1341,Child Care Services Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers Not Elsewhere Classified,1229,1342,Health Services Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers Not Elsewhere Classified,1229,1343,Aged Care Services Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers Not Elsewhere Classified,1229,1344,Social Welfare Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers Not Elsewhere Classified,1229,1345,Education Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers Not Elsewhere Classified,1229,1349,Professional Services Managers Not Elsewhere Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers Not Elsewhere Classified,1229,1439,Services Managers Not Elsewhere Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production and Operations Department Managers Not Elsewhere Classified,1229,2654,"Film, Stage and Related Directors and Producers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
