dname,isco88_code_2dg,rti_score,offs_score
at07,11,-0.570638001,-0.418199986
au81,21,-0.727476418,1.308184028
ca00,12,-0.623933792,-0.226653308
ca04,12,-0.623933792,-0.226653308
ca07,12,-0.623933792,-0.226653308
ca10,12,-0.623933792,-0.226653308
ca94,11,-0.540218234,-0.214403406
ca97,11,-0.540218234,-0.214403406
ca98,12,-0.623933792,-0.226653308
ch92,61,0.222795546,-0.840810001
co04,21,-0.727476418,1.308184028
co07,21,-0.727476418,1.308184028
co10,21,-0.727476418,1.308184028
co13,21,-0.727476418,1.308184028
cz92,11,-0.570638001,-0.418199986
eg12,11,-0.570638001,-0.418199986
es80,21,-0.573918521,0.873132467
es90,21,-0.573918521,0.873132467
fi87,21,-0.556551874,0.823930323
fi91,21,-0.556551874,0.823930323
fi95,21,-0.556551874,0.823930323
fr00,61,0.144009098,-0.840810001
fr05,61,0.144009098,-0.840810001
fr10,61,0.144009098,-0.840810001
fr78,92,0.380368501,-0.840810001
fr84,61,0.144009098,-0.840810001
fr89,61,0.144009098,-0.840810001
fr94,61,0.144009098,-0.840810001
ge10,11,-0.570638001,-0.418199986
ge13,11,-0.570638001,-0.418199986
hu91,21,-0.727476418,1.308184028
hu94,11,-0.570638001,-0.418199986
ie87,61,0.144009098,-0.840810001
il07,22,-0.909958124,-0.589510024
il10,22,-0.909958124,-0.589510024
il12,22,-0.909958124,-0.589510024
in04,21,-0.727476418,1.308184028
in11,21,-0.727476418,1.308184028
is04,11,-0.570638001,-0.418199986
is07,11,-0.570638001,-0.418199986
is10,11,-0.570638001,-0.418199986
mx08,21,-0.727476418,1.308184028
mx10,11,-0.570638001,-0.418199986
mx12,11,-0.570638001,-0.418199986
nl90,21,-0.727476418,1.308184028
nl93,21,-0.727476418,1.308184028
nl99,92,0.380368501,-0.840810001
pa07,11,-0.570638001,-0.418199986
pa10,11,-0.570638001,-0.418199986
pa13,11,-0.570638001,-0.418199986
sk04,11,-0.570638001,-0.418199986
sk07,11,-0.570638001,-0.418199986
sk92,11,-0.570638001,-0.418199986
