isco88_code,rti_mahutga_2018,ofs_mahutga_2018
11,-0.570761322,-0.416068756
12,-0.671638001,-0.140421076
13,-1.423735836,-0.45309128
21,-0.724701226,1.295751616
22,-0.902419754,-0.586688382
23,-1.458325549,-0.697810454
24,-0.62865391,0.423095978
31,-0.288254758,0.075871781
32,-0.226698444,-0.573422569
33,-1.367969583,-0.646216172
34,-0.325753645,0.310392109
41,2.37274528,0.608228577
42,1.543656989,-0.056059822
51,-0.492503612,-0.77067031
52,0.171730689,-0.721669669
61,0.108635999,-0.830886818
62,0.472829401,-0.840810001
71,-0.071164882,-0.761721118
72,0.581736297,-0.250595177
73,1.717745793,1.94469373
74,1.366186465,1.421349248
81,0.447955496,1.870676918
82,0.623629074,2.631798332
83,-1.396805624,-0.828081074
91,0.143970047,-0.632911362
92,0.380368501,-0.840810001
93,0.570989961,-0.483750618
