country_ess,essround,isco88_code,skillsp
AT,1,1314,1.043116808
AT,1,7412,1.83472085
AT,1,5120,0.412602723
AT,1,2224,1.756999969
AT,1,4130,0.274441898
AT,1,5141,0.412602723
AT,1,4121,0.274441898
AT,1,2444,1.756999969
AT,1,1223,1.043116808
AT,1,5220,0.412602723
AT,1,9132,0.782337606
AT,1,9313,0.782337606
AT,1,8251,4.755789757
AT,1,9211,0.782337606
AT,1,7143,1.83472085
AT,1,3320,0.81347549
AT,1,4132,0.274441898
AT,1,5131,0.412602723
AT,1,1232,1.043116808
AT,1,2331,1.756999969
AT,1,4212,0.274441898
AT,1,4115,0.274441898
AT,1,7210,1.83472085
AT,1,3221,0.81347549
AT,1,9320,0.782337606
AT,1,3228,0.81347549
AT,1,2143,1.756999969
AT,1,2452,1.756999969
AT,1,4190,0.274441898
AT,1,7121,1.83472085
AT,1,9151,0.782337606
AT,1,6111,1.254999876
AT,1,3449,0.81347549
AT,1,1239,1.043116808
AT,1,9141,0.782337606
AT,1,6130,1.254999876
AT,1,3225,0.81347549
AT,1,3310,0.81347549
AT,1,2350,1.756999969
AT,1,4215,0.274441898
AT,1,4120,0.274441898
AT,1,2221,1.756999969
AT,1,3413,0.81347549
AT,1,5123,0.412602723
AT,1,7436,1.83472085
AT,1,1210,1.043116808
AT,1,1231,1.043116808
AT,1,1226,1.043116808
AT,1,5149,0.412602723
AT,1,3420,0.81347549
AT,1,3400,0.81347549
AT,1,7136,1.83472085
AT,1,3443,0.81347549
AT,1,4222,0.274441898
AT,1,1312,1.043116808
AT,1,3122,0.81347549
AT,1,3416,0.81347549
AT,1,7240,1.83472085
AT,1,7433,1.83472085
AT,1,3471,0.81347549
AT,1,7311,1.83472085
AT,1,4221,0.274441898
AT,1,3433,0.81347549
AT,1,1313,1.043116808
AT,1,1315,1.043116808
AT,1,1317,1.043116808
AT,1,8283,4.755789757
AT,1,8324,4.755789757
AT,1,7122,1.83472085
AT,1,4131,0.274441898
AT,1,3131,0.81347549
AT,1,3113,0.81347549
AT,1,7222,1.83472085
AT,1,6141,1.254999876
AT,1,1235,1.043116808
AT,1,7424,1.83472085
AT,1,2445,1.756999969
AT,1,7221,1.83472085
AT,1,4211,0.274441898
AT,1,5121,0.412602723
AT,1,9312,0.782337606
AT,1,6112,1.254999876
AT,1,3470,0.81347549
AT,1,3442,0.81347549
AT,1,3231,0.81347549
AT,1,3118,0.81347549
AT,1,3412,0.81347549
AT,1,8161,4.755789757
AT,1,5122,0.412602723
AT,1,7230,1.83472085
AT,1,3460,0.81347549
AT,1,8266,4.755789757
AT,1,8311,4.755789757
AT,1,100,2.007999897
AT,1,7141,1.83472085
AT,1,3226,0.81347549
AT,1,7134,1.83472085
AT,1,2470,1.756999969
AT,1,8333,4.755789757
AT,1,7212,1.83472085
AT,1,8278,4.755789757
AT,1,7213,1.83472085
AT,1,4214,0.274441898
AT,1,9131,0.782337606
AT,1,4144,0.274441898
AT,1,3119,0.81347549
AT,1,2320,1.756999969
AT,1,2446,1.756999969
AT,1,5169,0.412602723
AT,1,8310,4.755789757
AT,1,5112,0.412602723
AT,1,7231,1.83472085
AT,1,5161,0.412602723
AT,1,3434,0.81347549
AT,1,9111,0.782337606
AT,1,2419,1.756999969
AT,1,7242,1.83472085
AT,1,3340,0.81347549
AT,1,3330,0.81347549
AT,1,3112,0.81347549
AT,1,7422,1.83472085
AT,1,8230,4.755789757
AT,1,8261,4.755789757
AT,1,2211,1.756999969
AT,1,2451,1.756999969
AT,1,7432,1.83472085
AT,1,1316,1.043116808
AT,1,9130,0.782337606
AT,1,3115,0.81347549
AT,1,3432,0.81347549
AT,1,2229,1.756999969
AT,1,6129,1.254999876
AT,1,7131,1.83472085
AT,1,2412,1.756999969
AT,1,4223,0.274441898
AT,1,3110,0.81347549
AT,1,3440,0.81347549
AT,1,4111,0.274441898
AT,1,2223,1.756999969
AT,1,7442,1.83472085
AT,1,3430,0.81347549
AT,1,9133,0.782337606
AT,1,3475,0.81347549
AT,1,3415,0.81347549
AT,1,1234,1.043116808
AT,1,2411,1.756999969
AT,1,3444,0.81347549
AT,1,1319,1.043116808
AT,1,5163,0.412602723
AT,1,4141,0.274441898
AT,1,2145,1.756999969
AT,1,5162,0.412602723
AT,1,1310,1.043116808
AT,1,7423,1.83472085
AT,1,4112,0.274441898
AT,1,2149,1.756999969
AT,1,6121,1.254999876
AT,1,3111,0.81347549
AT,1,9161,0.782337606
AT,1,3220,0.81347549
AT,1,7341,1.83472085
AT,1,5111,0.412602723
AT,1,3419,0.81347549
AT,1,2455,1.756999969
AT,1,3229,0.81347549
AT,1,7129,1.83472085
AT,1,3143,0.81347549
AT,1,4122,0.274441898
AT,1,8322,4.755789757
AT,1,5139,0.412602723
AT,1,7244,1.83472085
AT,1,1227,1.043116808
AT,1,5113,0.412602723
AT,1,1222,1.043116808
AT,1,7241,1.83472085
AT,1,7124,1.83472085
AT,1,4220,0.274441898
AT,1,8290,4.755789757
AT,1,8320,4.755789757
AT,1,3100,0.81347549
AT,1,9152,0.782337606
AT,1,3120,0.81347549
AT,1,7113,1.83472085
AT,1,8281,4.755789757
AT,1,4210,0.274441898
AT,1,1237,1.043116808
AT,1,7233,1.83472085
AT,1,4133,0.274441898
AT,1,3431,0.81347549
AT,1,3450,0.81347549
AT,1,9110,0.782337606
AT,1,2131,1.756999969
AT,1,4142,0.274441898
AT,1,8272,4.755789757
AT,1,1233,1.043116808
AT,1,4143,0.274441898
AT,1,2429,1.756999969
AT,1,8330,4.755789757
AT,1,2139,1.756999969
AT,1,4114,0.274441898
AT,1,9162,0.782337606
AT,1,1230,1.043116808
AT,1,7435,1.83472085
AT,1,9000,0.782337606
AT,1,2222,1.756999969
AT,1,3410,0.81347549
AT,1,8271,4.755789757
AT,1,9160,0.782337606
AT,1,3441,0.81347549
AT,1,9100,0.782337606
AT,1,7421,1.83472085
AT,1,7130,1.83472085
AT,1,3227,0.81347549
AT,1,4113,0.274441898
AT,1,8334,4.755789757
AT,1,3472,0.81347549
AT,1,9113,0.782337606
AT,1,2110,1.756999969
AT,1,9330,0.782337606
AT,1,8323,4.755789757
AT,1,8200,4.755789757
AT,1,7220,1.83472085
AT,1,8282,4.755789757
AT,1,7411,1.83472085
AT,1,7431,1.83472085
AT,1,3121,0.81347549
AT,1,7345,1.83472085
AT,1,5140,0.412602723
AT,1,2210,1.756999969
AT,1,9212,0.782337606
AT,1,8332,4.755789757
AT,1,8312,4.755789757
AT,1,7420,1.83472085
AT,1,3114,0.81347549
AT,1,2351,1.756999969
AT,1,8211,4.755789757
AT,1,1224,1.043116808
AT,1,8140,4.755789757
